"episode","1000 hns with additional head stochastic - _step","1000 hns with additional head stochastic - reward"
"1134","1134","19.39"
"1135","1135","19.1"
"1136","1136","18.8"
"1137","1137","19.2"
"1138","1138","19.16"
"1139","1139","19.06"
"1140","1140","19.4"
"1141","1141","19.16"
"1142","1142","19.05"
"1143","1143","19.24"
"1144","1144","19.33"
"1145","1145","19.25"
"1146","1146","19.31"
"1147","1147","19.26"
"1148","1148","19.27"
"1149","1149","19.18"
"1150","1150","19.13"
"1151","1151","19.32"
"1152","1152","19.26"
"1153","1153","18.94"
"1154","1154","19.25"
"1155","1155","19.31"
"1156","1156","18.81"
"1157","1157","19.28"
"1158","1158","19.32"
"1159","1159","19.16"
"1160","1160","19.25"
"1161","1161","19.32"
"1162","1162","19.23"
"1163","1163","19.22"
"1164","1164","19.15"
"1165","1165","18.88"
"1166","1166","19.25"
"1167","1167","19.3"
"1168","1168","19.07"
"1169","1169","19.27"
"1170","1170","19"
"1171","1171","18.72"
"1172","1172","19.34"
"1173","1173","19.12"
"1174","1174","19.32"
"1175","1175","19.11"
"1176","1176","19.19"
"1177","1177","19.46"
"1178","1178","18.77"
"1179","1179","19.01"
"1180","1180","19.16"
"1181","1181","19.24"
"1182","1182","18.94"
"1183","1183","19.19"
"1184","1184","19.22"
"1185","1185","19.09"
"1186","1186","19.33"
"1187","1187","19.14"
"1188","1188","18.82"
"1189","1189","19.22"
"1190","1190","19.31"
"1191","1191","19.41"
"1192","1192","19.13"
"1193","1193","19.19"
"1194","1194","19.3"
"1195","1195","19.38"
"1196","1196","18.99"
"1197","1197","19.3"
"1198","1198","19.34"
"1199","1199","19.44"
"1200","1200","18.93"
"1201","1201","19.07"
"1202","1202","19.32"
"1203","1203","18.87"
"1204","1204","19.39"
"1205","1205","18.79"
"1206","1206","19.4"
"1207","1207","19.03"
"1208","1208","19.18"
"1209","1209","19.15"
"1210","1210","19.12"
"1211","1211","19.3"
"1212","1212","19.32"
"1213","1213","19.45"
"1214","1214","19.58"
"1215","1215","19"
"1216","1216","19.15"
"1217","1217","19.31"
"1218","1218","19.09"
"1219","1219","19.4"
"1220","1220","19.32"
"1221","1221","19.29"
"1222","1222","19.46"
"1223","1223","19.25"
"1224","1224","19.42"
"1225","1225","19.24"
"1226","1226","19.15"
"1227","1227","19.1"
"1228","1228","19.44"
"1229","1229","19.17"
"1230","1230","19.3"
"1231","1231","19.34"
"1232","1232","19.27"
"1233","1233","19.32"
"1234","1234","19.24"
"1235","1235","19.22"
"1236","1236","19.29"
"1237","1237","19.52"
"1238","1238","19.16"
"1239","1239","19.13"
"1240","1240","19.23"
"1241","1241","19.39"
"1242","1242","19.27"
"1243","1243","19.46"
"1244","1244","19.3"
"1245","1245","19.38"
"1246","1246","19.11"
"1247","1247","19.4"
"1248","1248","19.43"
"1249","1249","19.27"
"1250","1250","19.19"
"1251","1251","19.1"
"1252","1252","19.32"
"1253","1253","19"
"1254","1254","19.54"
"1255","1255","19.32"
"1256","1256","19.34"
"1257","1257","19.21"
"1258","1258","19.12"
"1259","1259","19.01"
"1260","1260","19.08"
"1261","1261","19.33"
"1262","1262","19.17"
"1263","1263","19.18"
"1264","1264","19.19"
"1265","1265","19.18"
"1266","1266","19.44"
"1267","1267","19.25"
"1268","1268","19.47"
"1269","1269","19.08"
"1270","1270","19.09"
"1271","1271","19.19"
"1272","1272","19.13"
"1273","1273","18.93"
"1274","1274","19.07"
"1275","1275","18.62"
"1276","1276","18.92"
"1277","1277","18.62"
"1278","1278","18.75"
"1279","1279","18.93"
"1280","1280","19.12"
"1281","1281","19.05"
"1282","1282","19.09"
"1283","1283","19.12"
"1284","1284","18.96"
"1285","1285","19.31"
"1286","1286","19.17"
"1287","1287","19.1"
"1288","1288","19.31"
"1289","1289","19.22"
"1290","1290","18.92"
"1291","1291","19.32"
"1292","1292","19.17"
"1293","1293","18.96"
"1294","1294","19.06"
"1295","1295","19.39"
"1296","1296","19.19"
"1297","1297","19.22"
"1298","1298","19.21"
"1299","1299","19.41"
"1300","1300","19.14"
"1301","1301","19.41"
"1302","1302","19.25"
"1303","1303","19.25"
"1304","1304","19.24"
"1305","1305","19.54"
"1306","1306","19.2"
"1307","1307","19.49"
"1308","1308","19.39"
"1309","1309","19.31"
"1310","1310","19.32"
"1311","1311","19.3"
"1312","1312","18.94"
"1313","1313","19.12"
"1314","1314","19.33"
"1315","1315","18.8"
"1316","1316","19.32"
"1317","1317","19.38"
"1318","1318","18.9"
"1319","1319","19.44"
"1320","1320","19.19"
"1321","1321","19"
"1322","1322","19.31"
