"episode","1000 wo map - _step","1000 wo map - self_coins1"
"813","812","1.29"
"814","813","1.33"
"815","814","1.32"
"816","815","1.28"
"817","816","1.23"
"818","817","1.34"
"819","818","1.31"
"820","819","0.98"
"821","820","1.36"
"822","821","1.29"
"823","822","1.45"
"824","823","1.29"
"825","824","1.29"
"826","825","1.29"
"827","826","1.33"
"828","827","1.29"
"829","828","1.24"
"830","829","1.29"
"831","830","1.25"
"832","831","1.26"
"833","832","1.18"
"834","833","1.29"
"835","834","1.28"
"836","835","1.26"
"837","836","1.47"
"838","837","1.54"
"839","838","1.4"
"840","839","1.31"
"841","840","1.4"
"842","841","1.37"
"843","842","1.41"
"844","843","1.51"
"845","844","1.47"
"846","845","1.43"
"847","846","1.48"
"848","847","1.28"
"849","848","1.38"
"850","849","1.2"
"851","850","1.29"
"852","851","1.31"
"853","852","1.31"
"854","853","1.12"
"855","854","1.14"
"856","855","1.5"
"857","856","1.28"
"858","857","1.28"
"859","858","1.4"
"860","859","1.17"
"861","860","1.23"
"862","861","1.14"
"863","862","1.26"
"864","863","1.37"
"865","864","1.39"
"866","865","1.3"
"867","866","1.26"
"868","867","1.26"
"869","868","1.26"
"870","869","1.29"
"871","870","1.3"
"872","871","1.33"
"873","872","1.42"
"874","873","1.35"
"875","874","1.06"
"876","875","1.49"
"877","876","1.34"
"878","877","1.34"
"879","878","1.37"
"880","879","1.22"
"881","880","1.39"
"882","881","1.17"
"883","882","1.35"
"884","883","1.32"
"885","884","1.3"
"886","885","1.24"
"887","886","1.35"
"888","887","1.37"
"889","888","1.36"
"890","889","1.4"
"891","890","1.23"
"892","891","1.38"
"893","892","1.23"
"894","893","1.44"
"895","894","1.26"
"896","895","1.23"
"897","896","1.33"
"898","897","1.37"
"899","898","1.21"
"900","899","1.14"
"901","900","1.64"
"902","901","1.35"
"903","902","1.33"
"904","903","1.27"
"905","904","1.35"
"906","905","1.32"
"907","906","1.24"
"908","907","1.29"
"909","908","1.32"
"910","909","1.26"
"911","910","1.33"
"912","911","1.33"
"913","912","1.24"
"914","913","1.51"
"915","914","1.24"
"916","915","1.21"
"917","916","1.22"
"918","917","1.18"
"919","918","1.26"
"920","919","1.26"
"921","920","1.42"
"922","921","1.24"
"923","922","1.41"
"924","923","1.26"
"925","924","1.42"
"926","925","1.28"
"927","926","1.38"
"928","927","1.25"
"929","928","1.36"
"930","929","1.29"
"931","930","1.35"
"932","931","1.27"
"933","932","1.18"
"934","933","1.28"
