"episode","1000 wo map - _step","1000 wo map - other_coins1"
"805","804","1.39"
"806","805","1.35"
"807","806","1.11"
"808","807","1.31"
"809","808","1.33"
"810","809","1.23"
"811","810","1.24"
"812","811","1.17"
"813","812","1.18"
"814","813","1.37"
"815","814","1.28"
"816","815","1.22"
"817","816","1.39"
"818","817","1.15"
"819","818","1.25"
"820","819","1.16"
"821","820","1.43"
"822","821","1.11"
"823","822","1.34"
"824","823","1.27"
"825","824","1.43"
"826","825","1.17"
"827","826","1.33"
"828","827","1.3"
"829","828","1.39"
"830","829","1.24"
"831","830","1.33"
"832","831","1.51"
"833","832","1.18"
"834","833","1.12"
"835","834","1.31"
"836","835","1.24"
"837","836","1.32"
"838","837","1.19"
"839","838","1.39"
"840","839","1.12"
"841","840","1.26"
"842","841","1.32"
"843","842","1.42"
"844","843","1.29"
"845","844","1.25"
"846","845","1.2"
"847","846","1.33"
"848","847","1.11"
"849","848","1.18"
"850","849","1.28"
"851","850","1.26"
"852","851","1.21"
"853","852","1.45"
"854","853","1.37"
"855","854","1.3"
"856","855","1.39"
"857","856","1.46"
"858","857","1.29"
"859","858","1.39"
"860","859","1.51"
"861","860","1.24"
"862","861","1.53"
"863","862","1.28"
"864","863","1.3"
"865","864","1.48"
"866","865","1.39"
"867","866","1.3"
"868","867","1.21"
"869","868","1.03"
"870","869","1.33"
"871","870","1.24"
"872","871","1.33"
"873","872","1.42"
"874","873","1.23"
"875","874","1.47"
"876","875","1.38"
"877","876","1.23"
"878","877","1.39"
"879","878","1.33"
"880","879","1.08"
"881","880","1.4"
"882","881","1.36"
"883","882","1.48"
"884","883","1.19"
"885","884","1.24"
"886","885","1.25"
"887","886","1.29"
"888","887","1.49"
"889","888","1.36"
"890","889","1.32"
"891","890","1.34"
"892","891","1.53"
"893","892","1.3"
"894","893","1.13"
"895","894","1.34"
"896","895","1.21"
"897","896","1.52"
"898","897","1.26"
"899","898","1.39"
"900","899","1.23"
"901","900","1.32"
"902","901","1.24"
"903","902","1.38"
"904","903","1.21"
"905","904","1.1"
"906","905","1.18"
"907","906","1.21"
"908","907","1.34"
"909","908","1.37"
"910","909","1.17"
"911","910","1.26"
"912","911","1.33"
"913","912","1.28"
"914","913","1.42"
"915","914","1.28"
"916","915","1.15"
"917","916","1.27"
"918","917","1.3"
"919","918","1.39"
"920","919","1.12"
"921","920","1.4"
"922","921","1.26"
"923","922","1.33"
"924","923","1.35"
"925","924","1.28"
"926","925","1.2"
"927","926","1.26"
"928","927","1.1"
"929","928","1.21"
"930","929","1.33"
"931","930","1.33"
"932","931","1.36"
"933","932","1.18"
"934","933","1.34"
"935","934","1.21"
"936","935","1.41"
"937","936","1.45"
"938","937","1.39"
"939","938","1.28"
"940","939","1.39"
"941","940","1.36"
"942","941","1.29"
"943","942","1.2"
"944","943","1.23"
"945","944","1.49"
"946","945","1.24"
"947","946","1.24"
"948","947","1.21"
"949","948","1.22"
"950","949","1.37"
"951","950","1.15"
"952","951","1.39"
"953","952","1.4"
"954","953","1.38"
"955","954","1.27"
"956","955","1.35"
"957","956","1.4"
"958","957","1.28"
"959","958","1.14"
"960","959","1.33"
"961","960","1.3"
"962","961","1.31"
"963","962","1.22"
"964","963","0.95"
"965","964","1.31"
"966","965","1.35"
"967","966","1.36"
"968","967","1.22"
"969","968","1.28"
"970","969","1.3"
"971","970","1.45"
"972","971","1.36"
"973","972","1.21"
"974","973","1.13"
"975","974","1.25"
"976","975","1.35"
"977","976","1.33"
"978","977","1.48"
"979","978","1.36"
"980","979","1.16"
"981","980","1.15"
"982","981","1.33"
"983","982","1.29"
"984","983","1.29"
"985","984","1.39"
"986","985","1.17"
"987","986","1.41"
"988","987","1.45"
"989","988","1.26"
"990","989","1.42"
"991","990","1.36"
"992","991","1.3"
"993","992","1.18"
"994","993","1.24"
"995","994","1.23"
"996","995","1.32"
"997","996","1.32"
"998","997","1.26"
"999","998","1.43"
"1000","999","1.22"
"1001","1000","1.24"
"1002","1001","1.23"
"1003","1002","1.34"
"1004","1003","1.26"
"1005","1004","1.15"
"1006","1005","1.26"
"1007","1006","1.23"
"1008","1007","1.26"
"1009","1008","1.35"
"1010","1009","1.38"
"1011","1010","1.22"
"1012","1011","1.23"
"1013","1012","1.36"
"1014","1013","1.2"
"1015","1014","1.21"
"1016","1015","1.37"
"1017","1016","1.32"
"1018","1017","1.19"
"1019","1018","1.32"
"1020","1019","1.43"
"1021","1020","1.36"
"1022","1021","1.16"
"1023","1022","1.19"
"1024","1023","1.29"
"1025","1024","1.22"
"1026","1025","1.46"
"1027","1026","1.37"
"1028","1027","1.21"
"1029","1028","1.41"
"1030","1029","1.34"
"1031","1030","1.36"
"1032","1031","1.54"
"1033","1032","1.25"
"1034","1033","1.29"
"1035","1034","1.48"
"1036","1035","1.18"
"1037","1036","1.3"
"1038","1037","1.31"
"1039","1038","1.22"
"1040","1039","1.31"
"1041","1040","1.34"
"1042","1041","1.33"
"1043","1042","1.35"
"1044","1043","1.44"
"1045","1044","1.2"
"1046","1045","1.28"
"1047","1046","1.19"
"1048","1047","1.22"
"1049","1048","1.16"
"1050","1049","1.49"
"1051","1050","1.35"
"1052","1051","1.34"
"1053","1052","1.28"
"1054","1053","1.33"
"1055","1054","1.15"
"1056","1055","1.41"
"1057","1056","1.34"
"1058","1057","1.39"
"1059","1058","1.23"
"1060","1059","1.48"
"1061","1060","1.29"
"1062","1061","1.2"
"1063","1062","1.31"
"1064","1063","1.37"
"1065","1064","1.15"
"1066","1065","1.4"
"1067","1066","1.37"
"1068","1067","1.17"
"1069","1068","1.42"
"1070","1069","1.3"
"1071","1070","1.35"
"1072","1071","1.24"
"1073","1072","1.33"
"1074","1073","1.24"
"1075","1074","1.5"
"1076","1075","1.41"
"1077","1076","1.45"
"1078","1077","1.1"
"1079","1078","1.37"
"1080","1079","1.25"
"1081","1080","1.36"
"1082","1081","1.36"
"1083","1082","1.31"
"1084","1083","1.3"
"1085","1084","1.39"
"1086","1085","1.19"
"1087","1086","1.22"
"1088","1087","1.48"
"1089","1088","1.11"
"1090","1089","1.33"
"1091","1090","1.34"
"1092","1091","1.42"
"1093","1092","1.23"
"1094","1093","1.23"
"1095","1094","1.36"
"1096","1095","1.29"
"1097","1096","1.17"
"1098","1097","1.47"
"1099","1098","1.13"
"1100","1099","1.38"
"1101","1100","1.3"
"1102","1101","1.32"
"1103","1102","1.24"
"1104","1103","1.51"
"1105","1104","1.25"
"1106","1105","1.32"
"1107","1106","1.32"
"1108","1107","1.17"
"1109","1108","1.22"
"1110","1109","1.25"
"1111","1110","1.39"
"1112","1111","1.34"
"1113","1112","1.41"
"1114","1113","1.17"
"1115","1114","1.61"
"1116","1115","1.31"
"1117","1116","1.42"
"1118","1117","1.29"
"1119","1118","1.27"
"1120","1119","1.28"
"1121","1120","1.34"
"1122","1121","1.3"
"1123","1122","1.29"
"1124","1123","1.28"
"1125","1124","1.21"
"1126","1125","1.2"
"1127","1126","1.37"
"1128","1127","1.36"
"1129","1128","1.17"
"1130","1129","1.45"
"1131","1130","1.41"
"1132","1131","1.21"
"1133","1132","1.39"
"1134","1133","1.09"
"1135","1134","1.36"
"1136","1135","1.21"
"1137","1136","1.45"
"1138","1137","1.3"
"1139","1138","1.24"
"1140","1139","1.17"
"1141","1140","1.34"
"1142","1141","1.26"
"1143","1142","1.29"
"1144","1143","1.28"
"1145","1144","1.38"
"1146","1145","1.23"
"1147","1146","1.5"
"1148","1147","1.41"
"1149","1148","1.36"
"1150","1149","1.32"
"1151","1150","1.33"
"1152","1151","1.4"
"1153","1152","1.33"
"1154","1153","1.41"
"1155","1154","1.28"
"1156","1155","1.22"
"1157","1156","1.36"
"1158","1157","1.39"
"1159","1158","1.13"
"1160","1159","1.25"
"1161","1160","1.26"
"1162","1161","1.26"
"1163","1162","1.27"
"1164","1163","1.6"
"1165","1164","1.26"
"1166","1165","1.24"
"1167","1166","1.26"
"1168","1167","1.48"
"1169","1168","1.42"
"1170","1169","1.31"
"1171","1170","1.22"
"1172","1171","1.39"
"1173","1172","1.33"
"1174","1173","1.33"
"1175","1174","1.34"
"1176","1175","1.44"
"1177","1176","1.44"
"1178","1177","1.22"
"1179","1178","1.35"
"1180","1179","1.33"
"1181","1180","1.33"
"1182","1181","1.39"
"1183","1182","1.43"
"1184","1183","1.2"
"1185","1184","1.2"
"1186","1185","1.23"
"1187","1186","1.35"
"1188","1187","1.34"
"1189","1188","1.28"
"1190","1189","1.25"
"1191","1190","1.09"
"1192","1191","1.26"
"1193","1192","1.47"
"1194","1193","1.35"
"1195","1194","1.37"
"1196","1195","1.38"
"1197","1196","1.31"
"1198","1197","1.3"
"1199","1198","1.4"
"1200","1199","1.21"
"1201","1200","1.31"
"1202","1201","1.27"
"1203","1202","1.2"
"1204","1203","1.25"
"1205","1204","1.31"
"1206","1205","1.32"
"1207","1206","1.33"
"1208","1207","1.12"
"1209","1208","1.16"
"1210","1209","1.23"
"1211","1210","1.34"
"1212","1211","1.31"
"1213","1212","1.33"
"1214","1213","1.17"
"1215","1214","1.22"
"1216","1215","1.29"
"1217","1216","1.43"
"1218","1217","1.36"
"1219","1218","1.33"
"1220","1219","1.33"
"1221","1220","1.26"
"1222","1221","1.27"
"1223","1222","1.33"
"1224","1223","1.34"
"1225","1224","1.38"
"1226","1225","1.25"
"1227","1226","1.32"
"1228","1227","1.42"
"1229","1228","1.22"
"1230","1229","1.38"
"1231","1230","1.37"
"1232","1231","1.33"
"1233","1232","1.22"
"1234","1233","1.27"
"1235","1234","1.29"
"1236","1235","1.32"
"1237","1236","1.21"
"1238","1237","1.32"
"1239","1238","1.31"
"1240","1239","1.31"
"1241","1240","1.43"
"1242","1241","1.47"
"1243","1242","1.34"
