"episode","1000 wo map - _step","1000 wo map - neither_coins1"
"852","851","1.35"
"853","852","1.21"
"854","853","1.27"
"855","854","1.36"
"856","855","1.27"
"857","856","1.32"
"858","857","1.26"
"859","858","1.25"
"860","859","1.23"
"861","860","1.16"
"862","861","1.37"
"863","862","1.29"
"864","863","1.32"
"865","864","1.24"
"866","865","1.25"
"867","866","1.28"
"868","867","1.24"
"869","868","1.26"
"870","869","1.12"
"871","870","1.25"
"872","871","1.35"
"873","872","1.14"
"874","873","1.35"
"875","874","1.15"
"876","875","1.15"
"877","876","1.26"
"878","877","1.46"
"879","878","1.34"
"880","879","1.28"
"881","880","1.23"
"882","881","1.29"
"883","882","1.31"
"884","883","1.28"
"885","884","1.25"
"886","885","1.09"
"887","886","1.39"
"888","887","1.25"
"889","888","1.17"
"890","889","1.3"
"891","890","1.29"
"892","891","1.26"
"893","892","1.1"
"894","893","1.3"
"895","894","1.22"
"896","895","1.39"
"897","896","1.14"
"898","897","1.31"
"899","898","1.26"
"900","899","1.35"
"901","900","1.38"
"902","901","1.12"
"903","902","1.17"
"904","903","1.15"
"905","904","1.37"
"906","905","1.25"
"907","906","1.29"
"908","907","1.3"
"909","908","1.29"
"910","909","1.35"
"911","910","1.37"
"912","911","1.14"
"913","912","1.23"
"914","913","1.32"
"915","914","1.33"
"916","915","1.32"
"917","916","1.14"
"918","917","1.42"
"919","918","1.27"
"920","919","1.31"
"921","920","1.35"
"922","921","1.3"
"923","922","1.36"
"924","923","1.28"
"925","924","1.31"
"926","925","1.35"
"927","926","1.25"
"928","927","1.57"
"929","928","1.28"
"930","929","1.34"
"931","930","1.25"
"932","931","1.31"
"933","932","1.14"
"934","933","1.34"
"935","934","1.34"
"936","935","1.35"
"937","936","1.31"
"938","937","1.33"
"939","938","1.35"
"940","939","1.22"
"941","940","1.38"
"942","941","1.26"
"943","942","1.21"
"944","943","1.13"
"945","944","1.4"
"946","945","1.41"
"947","946","1.32"
"948","947","1.46"
"949","948","1.33"
"950","949","1.14"
"951","950","1.19"
"952","951","1.49"
"953","952","1.24"
"954","953","1.37"
"955","954","1.37"
"956","955","1.42"
"957","956","1.29"
"958","957","1.25"
"959","958","1.21"
"960","959","1.45"
"961","960","1.34"
"962","961","1.32"
"963","962","1.22"
"964","963","1.3"
"965","964","1.29"
"966","965","1.04"
"967","966","1.35"
"968","967","1.29"
"969","968","1.4"
"970","969","1.21"
"971","970","1.33"
"972","971","1.21"
"973","972","1.39"
"974","973","1.18"
"975","974","1.19"
"976","975","1.3"
"977","976","1.47"
"978","977","1.38"
"979","978","1.25"
"980","979","1.25"
"981","980","1.28"
"982","981","1.34"
"983","982","1.19"
"984","983","1.28"
"985","984","1.34"
"986","985","1.32"
"987","986","1.42"
"988","987","1.4"
"989","988","1.2"
"990","989","1.28"
"991","990","1.36"
"992","991","1.36"
"993","992","1.19"
"994","993","1.32"
"995","994","1.24"
"996","995","1.36"
"997","996","1.46"
"998","997","1.28"
"999","998","1.39"
"1000","999","1.11"
"1001","1000","1.37"
"1002","1001","1.42"
"1003","1002","1.37"
"1004","1003","1.38"
"1005","1004","1.35"
"1006","1005","1.17"
"1007","1006","1.3"
"1008","1007","1.19"
"1009","1008","1.36"
"1010","1009","1.38"
"1011","1010","1.18"
"1012","1011","1.2"
"1013","1012","1.2"
"1014","1013","1.41"
"1015","1014","1.44"
"1016","1015","1.47"
"1017","1016","1.23"
"1018","1017","1.31"
"1019","1018","1.26"
"1020","1019","1.29"
"1021","1020","1.21"
"1022","1021","1.23"
"1023","1022","1.36"
"1024","1023","1.32"
"1025","1024","1.24"
"1026","1025","1.34"
"1027","1026","1.36"
"1028","1027","1.23"
"1029","1028","1.23"
"1030","1029","1.43"
"1031","1030","1.18"
"1032","1031","1.34"
"1033","1032","1.27"
"1034","1033","1.38"
"1035","1034","1.36"
"1036","1035","1.23"
"1037","1036","1.2"
"1038","1037","1.29"
"1039","1038","1.33"
"1040","1039","1.34"
"1041","1040","1.12"
"1042","1041","1.26"
"1043","1042","1.17"
"1044","1043","1.43"
"1045","1044","1.38"
"1046","1045","1.28"
"1047","1046","1.29"
"1048","1047","1.24"
"1049","1048","1.29"
"1050","1049","1.36"
"1051","1050","1.33"
"1052","1051","1.46"
"1053","1052","1.25"
"1054","1053","1.35"
"1055","1054","1.37"
"1056","1055","1.39"
"1057","1056","1.22"
"1058","1057","1.16"
"1059","1058","1.3"
"1060","1059","1.34"
"1061","1060","1.26"
"1062","1061","1.32"
"1063","1062","1.14"
"1064","1063","1.35"
"1065","1064","1.3"
"1066","1065","1.39"
"1067","1066","1.29"
"1068","1067","1.25"
"1069","1068","1.26"
"1070","1069","1.3"
"1071","1070","1.24"
"1072","1071","1.48"
"1073","1072","1.4"
"1074","1073","1.3"
"1075","1074","1.2"
"1076","1075","1.22"
"1077","1076","1.25"
"1078","1077","1.22"
"1079","1078","1.42"
"1080","1079","1.37"
"1081","1080","1.28"
"1082","1081","1.35"
"1083","1082","1.29"
"1084","1083","1.25"
"1085","1084","1.47"
"1086","1085","1.16"
"1087","1086","1.32"
"1088","1087","1.4"
"1089","1088","1.4"
"1090","1089","1.49"
"1091","1090","1.33"
"1092","1091","1.17"
"1093","1092","1.25"
"1094","1093","1.22"
"1095","1094","1.3"
"1096","1095","1.33"
"1097","1096","1.29"
"1098","1097","1.29"
"1099","1098","1.5"
"1100","1099","1.39"
